Fornavne til kvinder pr. 1. januar 2015

Navn	ANTAL
ASIYA	73
BEA	73
BERNADETTE	73
CHANETT	73
EVE	73
GYRITHE	73
HAJAR	73
HALIMO	73
HANSA	73
HAZAL	73
HULDA	73
INDIRA	73
LILLIE	73
MAI-BRIT	73
MAKBULE	73
MARA	73
NAHID	73
RAHIME	73
SENGÜL	73
SEYMA	73
SHANNON	73
SUNDUS	73
THEODORA	73
YELVA	73
AMELIE	72
BABETTE	72
BEATRIZ	72
BIRTA	72
CANSU	72
CILIE	72
DEBORA	72
FIDAN	72
FLEUR	72
GEORGINA	72
INGER-MARGRETHE	72
JOANNE	72
LAURINE	72
MITRA	72
POULINE	72
RAWAN	72
STEFANI	72
SYNNE	72
YARA	72
ZANNE	72
AMILA	71
ANASTACIA	71
ANN-DORTHE	71
AVIN	71
DUDU	71
IBI	71
MALU	71
MARGARETHE	71
MAUREEN	71
NIMO	71
RACHIDA	71
VANILLA	71
VIGDIS	71
VITTA	71
YAGMUR	71
ALIYAH	70
AMILIA	70
DAIVA	70
ELFRIEDE	70
ILHAM	70
