Fornavne til mænd pr. 1. januar 2015

Navn	ANTAL
MARTYNAS	70
SERGIY	70
STANISLAV	70
VYTAUTAS	70
WILLEM	70
ALEXANDAR	69
CODY	69
FERENC	69
GEOFFREY	69
HAKIM	69
HAROON	69
KARL-HEINZ	69
LARS-OLE	69
TUNCAY	69
VOLKER	69
YAKUB	69
ALEKSANDR	68
ALVARO	68
GERALD	68
IURII	68
JAFAR	68
KAAN	68
MIRAC	68
MUNIR	68
OLA	68
RODRIGO	68
RONI	68
SAJJAD	68
SHADI	68
VILLI	68
VINCENZO	68
AJDIN	67
CHRISTOS	67
DARKO	67
GAVIN	67
GAZI	67
JAKE	67
MIRKO	67
MOUNIR	67
NIKITA	67
SEDAT	67
SIGVALD	67
SULAIMAN	67
UDO	67
YOUSIF	67
AMDI	66
ANTOINE	66
BERT	66
DANIELE	66
DANTE	66
DINH	66
DUSAN	66
FARHAN	66
HARLEY	66
ISLAM	66
MEIK	66
MOSES	66
MUHAREM	66
NAVEED	66
NEDIM	66
NIELS-JØRN	66
NIHAD	66
SÜKRÜ	66
VASYL	66
VIRGIL	66
WAQAS	66
ARTURAS	65
DRAGOS	65
FAHAD	65
JANOS	65
KAROLIS	65
LAURENT	65
OGUZ	65
OGUZHAN	65
SALAM	65
SANDOR	65
SELAHATTIN	65
TEO	65
AYAD	64
BARRY	64
BRAHIM	64
CLAUDIU	64
DIYAR	64
FARIS	64
GERRIT	64
GUDMUNDUR	64
HELGI	64
JOVAN	64
JOZSEF	64
MEHRDAD	64
NERIJUS	64
SERHII	64
TAN	64
VIOREL	64
WALEED	64
ZAID	64
ZLATKO	64
ASHRAF	63
AYAAN	63
DUY	63
EGIDIJUS	63
EIGILD	63
GEO	63
GUSTAVO	63
HUU	63
JORDAN	63
JØRN-OLE	63
KAMEL	63
LARS-PETER	63
MAHIR	63
MASSIMO	63
MIKOLAJ	63
SHAHZAD	63
TALAL	63
TAMAS	63
YASER	63
YONAS	63
ZEKI	63
ABDIFATAH	62
ALEXZANDER	62
ATIF	62
BABAK	62
CARIT	62
COSMIN	62
ENRIQUE	62
HASHIM	62
