Fornavne til mænd pr. 1. januar 2013

Navn	ANTAL
ZAKARIYA	59
ALIN	58
ANDRE'	58
ARTURAS	58
BABAK	58
DANIELE	58
JANEK	58
KAROLIS	58
MAKSIM	58
RAZVAN	58
VEYSEL	58
ARNAR	57
ATLI	57
BJARKI	57
COSMIN	57
DIYAR	57
DYLAN	57
EDDI	57
ENRIQUE	57
ERDOGAN	57
FARIS	57
FRANCOIS	57
GERTH	57
GUIDO	57
GYNTHER	57
HAMIT	57
MAHIR	57
MAHMOOD	57
MEMET	57
MICKLAS	57
MUNIR	57
REMZI	57
SANEL	57
SHADI	57
VIRGIL	57
ZIYA	57
ABDIFATAH	56
ARTURS	56
ATIF	56
BATUHAN	56
DARREN	56
GAVIN	56
GOTFRED	56
HANS-JÜRGEN	56
HASHIM	56
ISLAM	56
JANNEK	56
KAZIM	56
KENNEY	56
MAJED	56
MATEO	56
MIKOLAJ	56
NIKITA	56
RODRIGO	56
RUNI	56
SAMMI	56
SERVET	56
SVEIN	56
VILAS	56
ALVARO	55
DENNY	55
DIMITRI	55
DJON	55
DONATAS	55
EGIDIJUS	55
ELDIN	55
ESBERN	55
FELIPE	55
HUY	55
LARRY	55
MOSES	55
OVIDIU	55
PAUL-ERIK	55
RIAD	55
SOHAIL	55
STEINAR	55
THOMMY	55
VINH	55
ALEXANDROS	54
DANTE	54
EILER	54
HAJRUDIN	54
HIKMET	54
HISHAM	54
IRENEUSZ	54
JONNI	54
LAWRENCE	54
MAHMUD	54
MARLON	54
REINER	54
RONI	54
SIGGE	54
SULTAN	54
THOM	54
WASSIM	54
XUAN	54
AJDIN	53
ALEXZANDER	53
ASGAR	53
BENTH	53
BERTHEL	53
CRAIG	53
ETHAN	53
GEO	53
HEIKO	53
HONG	53
JANIK	53
KASHIF	53
LENNY	53
LINAS	53
MARLEY	53
MASS	53
NIELS-KRISTIAN	53
PARVIZ	53
RAM	53
RINO	53
RUDDI	53
SAJAD	53
SANDOR	53
SHAHRAM	53
VAIDAS	53
VINCENZO	53
YUSEF	53
ZSOLT	53
ÖZGÜR	53
ABDELKADER	52
AKBAR	52
AMIT	52
ANDRAS	52
ANEL	52
ANIS	52
AYAAN	52
CHARLEY	52
CODY	52
DON	52
ERMIN	52
ERSIN	52
FARHAN	52
FEVZI	52
GUILLAUME	52
HAI	52
IZET	52
JOHNI	52
JORDAN	52
JOSIAS	52
KERN	52
MADS-PETER	52
MARTINS	52
RAYAN	52
REIMER	52
REINHARDT	52
TOMISLAV	52
ZIGGY	52
BAJRAM	51
BOGI	51
CEMIL	51
CHRISTOS	51
DRAGOS	51
FREDY	51
